b,eta,kappa,a_h,mu,omega,a_d,D,alpha,rho,delta,Id,Ic,Iw
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,372.7593720314938,0,0.004971958213948199,0,1.196063532923759e-5
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,372.7593720314938,0,0.004993413981921228,0,6.576831382641775e-6
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,372.7593720314938,0,0.004871293554638219,0,1.1551867758440353e-4
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,372.7593720314938,0,0.004935570095995029,0,6.442325600629672e-5
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,449.8432668969444,0,0.0049696692753588125,0,1.4420040012956231e-5
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,449.8432668969444,0,0.004992058344976019,0,7.932560610640197e-6
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,449.8432668969444,0,0.004849161453166232,0,1.383087615558542e-4
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,449.8432668969444,0,0.004922613973979253,0,7.73798659941357e-5
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,542.867543932386,0,0.004966910807227899,0,1.738171174083402e-5
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,542.867543932386,0,0.0049904243377278355,0,9.566677988053702e-6
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,542.867543932386,0,0.004822875478162303,0,1.6534257075305006e-4
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,542.867543932386,0,0.004907138549322357,0,9.285583022532324e-5
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,655.1285568595509,0,0.00496358752398864,0,2.0946657792997805e-5
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,655.1285568595509,0,0.0049884552764472515,0,1.1535870407956855e-5
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,655.1285568595509,0,0.00479175211184805,0,1.9730575421666506e-4
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,655.1285568595509,0,0.004888690773003673,0,1.1130419277350686e-4
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,790.6043210907702,0,0.004959585222471667,0,2.5235500624280615e-5
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,790.6043210907702,0,0.004986083161159348,0,1.390814142249428e-5
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,790.6043210907702,0,0.004755034238183525,0,2.349532682102466e-4
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,790.6043210907702,0,0.004866751563622391,0,1.3324402580181056e-4
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,954.0954763499944,0,0.004954767259599659,0,3.0391975071331224e-5
