b,eta,kappa,a_h,mu,omega,a_d,D,alpha,rho,delta,Id,Ic,Iw
2.5e-5,150,50,1,2442053.0945486496,1,0,1,0.05555555555555555,0,0,0.003290689294971049,0.0017093107037824953,0
2.5e-5,200,50,1,2442053.0945486496,1,0,1,0.05555555555555555,0,0,0.0037566702441799685,0.0012433297558195483,0
2.5e-5,150,50,1,2682695.7952797273,1,0,1,0.05555555555555555,0,0,0.0032113292064921725,0.0017886707932761774,0
2.5e-5,200,50,1,2682695.7952797273,1,0,1,0.05555555555555555,0,0,0.0036850793123346963,0.0013149206876652201,0
2.5e-5,150,50,1,2947051.7025518096,1,0,1,0.05555555555555555,0,0,0.0031313017964311974,0.0018686982035330192,0
2.5e-5,200,50,1,2947051.7025518096,1,0,1,0.05555555555555555,0,0,0.003611681147308632,0.0013883188526913589,0
2.5e-5,150,50,1,3237457.54281764,1,0,1,0.05555555555555555,0,0,0.003050819588556954,0.0019491804114385113,0
2.5e-5,200,50,1,3237457.54281764,1,0,1,0.05555555555555555,0,0,0.0035368435709268085,0.0014631564290731934,0
2.5e-5,150,50,1,3556480.3062231285,1,0,1,0.05555555555555555,0,0,0.002970002365406374,0.002029997634593172,0
2.5e-5,200,50,1,3556480.3062231285,1,0,1,0.05555555555555555,0,0,0.0034605016791205267,0.0015394983208794734,0
2.5e-5,150,50,1,3906939.937054613,1,0,1,0.05555555555555555,0,0,0.0028891908923129738,0.0021108091076869843,0
2.5e-5,200,50,1,3906939.937054613,1,0,1,0.05555555555555555,0,0,0.0033828426431207494,0.0016171573568792524,0
2.5e-5,150,50,1,4291934.260128778,1,0,1,0.05555555555555555,0,0,0.0028084111232726874,0.002191588876727312,0
2.5e-5,200,50,1,4291934.260128778,1,0,1,0.05555555555555555,0,0,0.0033043133772502793,0.001695686622749716,0
2.5e-5,150,50,1,4714866.36345739,1,0,1,0.05555555555555555,0,0,0.0027278125292032425,0.0022721874707967602,0
2.5e-5,200,50,1,4714866.36345739,1,0,1,0.05555555555555555,0,0,0.0032248210806847966,0.0017751789193152007,0
2.5e-5,150,50,1,5179474.6792312125,1,0,1,0.05555555555555555,0,0,0.002647582020948493,0.0023524179790515055,0
2.5e-5,200,50,1,5179474.6792312125,1,0,1,0.05555555555555555,0,0,0.003144551134460267,0.0018554488655397321,0
2.5e-5,150,50,1,5689866.029018293,1,0,1,0.05555555555555555,0,0,0.0025680624280327554,0.0024319375719672443,0
2.5e-5,200,50,1,5689866.029018293,1,0,1,0.05555555555555555,0,0,0.0030640189784251885,0.0019359810215748116,0
2.5e-5,150,50,1,6250551.925273976,1,0,1,0.05555555555555555,0,0,0.002489067075564078,0.002510932924435913,0
2.5e-5,200,50,1,6250551.925273976,1,0,1,0.05555555555555555,0,0,0.002983071533888209,0.0020169284661117923,0
2.5e-5,150,50,1,6866488.450042998,1,0,1,0.05555555555555555,0,0,0.002411054410744537,0.0025889455892554652,0
2.5e-5,200,50,1,6866488.450042998,1,0,1,0.05555555555555555,0,0,0.002901769124459755,0.0020982308755402436,0
2.5e-5,150,50,1,7543120.063354608,1,0,1,0.05555555555555555,0,0,0.0023339709651516347,0.0026660290348483654,0
2.5e-5,200,50,1,7543120.063354608,1,0,1,0.05555555555555555,0,0,0.0028206525421268615,0.002179347457873134,0
2.5e-5,150,50,1,8286427.728546842,1,0,1,0.05555555555555555,0,0,0.002257894232515654,0.00274210576748435,0
2.5e-5,200,50,1,8286427.728546842,1,0,1,0.05555555555555555,0,0,0.0027399284233228637,0.0022600715766771403,0
2.5e-5,150,50,1,9102981.779915227,1,0,1,0.05555555555555555,0,0,0.0021831182362223095,0.002816881763777694,0
2.5e-5,200,50,1,9102981.779915227,1,0,1,0.05555555555555555,0,0,0.0026594407598894225,0.0023405592401105776,0
2.5e-5,150,50,1,1e7,1,0,1,0.05555555555555555,0,0,0.0021092900795448067,0.0028907099204551864,0
2.5e-5,200,50,1,1e7,1,0,1,0.05555555555555555,0,0,0.002579508143491014,0.002420491856508979,0
2.5e-5,150,50,1,1e5,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004862798078867733,1.2763049497653708e-4,0
2.5e-5,200,50,1,1e5,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004923858600680323,7.613547608211316e-5,0
2.5e-5,150,50,1,109854.11419875572,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004851344787159463,1.3959854921572918e-4,0
2.5e-5,200,50,1,109854.11419875572,1,0.02040816326530612,1,0.05555555555555555,0,0,0.00491658218807271,8.341216226100248e-5,0
2.5e-5,150,50,1,120679.26406393289,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004838846018146339,1.5262928095121327e-4,0
2.5e-5,200,50,1,120679.26406393289,1,0.02040816326530612,1,0.05555555555555555,0,0,0.0049086335890703315,9.136104706581841e-5,0
2.5e-5,150,50,1,132571.1365590108,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004825224126098042,1.6679863768517304e-4,0
2.5e-5,200,50,1,132571.1365590108,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004899955268803132,1.0003966445328956e-4,0
2.5e-5,150,50,1,145634.84775012443,1,0.02040816326530612,1,0.05555555555555555,0,0,0.00481038213681072,1.8219900021319727e-4,0
2.5e-5,200,50,1,145634.84775012443,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004890485649251122,1.0950959123544333e-4,0
2.5e-5,150,50,1,159985.87196060573,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004794229623576878,1.989186956445136e-4,0
2.5e-5,200,50,1,159985.87196060573,1,0.02040816326530612,1,0.05555555555555555,0,0,0.00488015913740411,1.1983642164427829e-4,0
2.5e-5,150,50,1,175751.06248547928,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004776667573400398,2.1705153794898647e-4,0
2.5e-5,200,50,1,175751.06248547928,1,0.02040816326530612,1,0.05555555555555555,0,0,0.0048688989273329795,1.3109695118595233e-4,0
2.5e-5,150,50,1,193069.77288832495,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004757593643226934,2.3669461474784735e-4,0
2.5e-5,200,50,1,193069.77288832495,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004856642692750702,1.4335351259837594e-4,0
2.5e-5,150,50,1,212095.08879201926,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004736905165883991,2.579476207509137e-4,0
2.5e-5,200,50,1,212095.08879201926,1,0.02040816326530612,1,0.05555555555555555,0,0,0.0048433072322092985,1.56689302489059e-4,0
2.5e-5,150,50,1,232995.1810515372,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004714490193333213,2.8091737408722896e-4,0
2.5e-5,200,50,1,232995.1810515372,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004828809087430454,1.7118777553957445e-4,0
2.5e-5,150,50,1,255954.79226995332,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004690252168485809,3.0569347511309893e-4,0
2.5e-5,200,50,1,255954.79226995332,1,0.02040816326530612,1,0.05555555555555555,0,0,0.00481306729687076,1.8692989107306414e-4,0
2.5e-5,150,50,1,281176.8697974231,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004664068857742932,3.3239228121789894e-4,0
2.5e-5,200,50,1,281176.8697974231,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004795981542020244,2.0401596375257277e-4,0
2.5e-5,150,50,1,308884.3596477478,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004635839140700129,3.611119803287629e-4,0
2.5e-5,200,50,1,308884.3596477478,1,0.02040816326530612,1,0.05555555555555555,0,0,0.004777461049052875,2.2253676405245917e-4,0
